,participant,cost,likelihood
0,0,cost_0,100.0
1,0,cost_25,100.0
2,0,cost_50,100.0
3,0,cost_100,100.0
4,0,cost_200,100.0
5,0,cost_300,100.0
6,0,cost_400,100.0
7,0,cost_600,0.0
8,1,cost_0,100.0
9,1,cost_25,100.0
10,1,cost_50,100.0
11,1,cost_100,100.0
12,1,cost_200,100.0
13,1,cost_300,100.0
14,1,cost_400,100.0
15,1,cost_500,100.0
16,1,cost_600,90.0
17,1,cost_700,90.0
18,1,cost_800,90.0
19,1,cost_900,90.0
20,1,cost_1000,80.0
21,1,cost_1100,80.0
22,1,cost_1200,75.0
23,1,cost_1300,75.0
24,1,cost_1400,75.0
25,1,cost_1500,50.0
26,1,cost_1600,50.0
27,1,cost_1700,50.0
28,1,cost_1800,40.0
29,1,cost_1900,40.0
30,1,cost_2000,40.0
31,1,cost_2100,25.0
32,1,cost_2200,25.0
33,1,cost_2300,25.0
34,1,cost_2400,25.0
35,1,cost_2500,25.0
36,1,cost_2600,5.0
37,1,cost_2700,0.0
38,2,cost_0,100.0
39,2,cost_25,100.0
40,2,cost_50,100.0
41,2,cost_100,100.0
42,2,cost_200,100.0
43,2,cost_300,100.0
44,2,cost_400,100.0
45,2,cost_500,100.0
46,2,cost_600,95.0
47,2,cost_700,95.0
48,2,cost_800,95.0
49,2,cost_900,95.0
50,2,cost_1000,95.0
51,2,cost_1100,90.0
52,2,cost_1200,90.0
53,2,cost_1300,75.0
54,2,cost_1400,75.0
55,2,cost_1500,70.0
56,2,cost_1600,50.0
57,2,cost_1700,50.0
58,2,cost_1800,50.0
59,2,cost_1900,50.0
60,2,cost_2000,50.0
61,2,cost_2100,0.0
62,3,cost_0,100.0
63,3,cost_25,94.0
64,3,cost_50,94.0
65,3,cost_100,91.0
66,3,cost_200,86.0
67,3,cost_300,82.0
68,3,cost_400,61.0
69,3,cost_500,45.0
70,3,cost_600,38.0
71,3,cost_700,27.0
72,3,cost_800,25.0
73,3,cost_900,18.0
74,3,cost_1000,16.0
75,3,cost_1100,11.0
76,3,cost_1200,8.0
77,3,cost_1300,4.0
78,3,cost_1400,4.0
79,3,cost_1500,3.0
80,3,cost_1600,3.0
81,3,cost_1700,2.0
82,3,cost_1800,2.0
83,3,cost_1900,2.0
84,3,cost_2000,2.0
85,3,cost_2100,2.0
86,3,cost_2200,1.0
87,3,cost_2300,1.0
88,3,cost_2400,1.0
89,3,cost_2500,0.0
90,4,cost_0,100.0
91,4,cost_25,100.0
92,4,cost_50,100.0
93,4,cost_100,100.0
94,4,cost_200,100.0
95,4,cost_300,100.0
96,4,cost_400,100.0
97,4,cost_500,100.0
98,4,cost_600,100.0
99,4,cost_700,100.0
100,4,cost_800,100.0
101,4,cost_900,100.0
102,4,cost_1000,100.0
103,4,cost_1500,25.0
104,4,cost_1600,25.0
105,4,cost_1700,25.0
106,4,cost_1800,0.0
107,5,cost_0,100.0
108,5,cost_25,100.0
109,5,cost_50,100.0
110,5,cost_100,100.0
111,5,cost_200,100.0
112,5,cost_300,75.0
113,5,cost_400,25.0
114,5,cost_500,20.0
115,5,cost_600,20.0
116,5,cost_700,20.0
117,5,cost_800,15.0
118,5,cost_900,5.0
119,5,cost_1000,0.0
120,6,cost_0,100.0
121,6,cost_25,100.0
122,6,cost_50,100.0
123,6,cost_100,100.0
124,6,cost_200,100.0
125,6,cost_300,100.0
126,6,cost_400,100.0
127,6,cost_500,100.0
128,6,cost_600,75.0
129,6,cost_700,50.0
130,6,cost_800,34.0
131,6,cost_900,15.0
132,6,cost_1000,0.0
133,7,cost_0,100.0
134,7,cost_25,100.0
135,7,cost_50,100.0
136,7,cost_100,100.0
137,7,cost_200,75.0
138,7,cost_700,0.0
139,8,cost_0,80.0
140,8,cost_25,81.0
141,8,cost_50,88.0
142,8,cost_100,82.0
143,8,cost_200,61.0
144,8,cost_400,0.0
145,9,cost_0,100.0
146,9,cost_25,100.0
