Start_Date,End_Date,IP_Address,Duration_seconds,ID,ID2,consent,certification_status,cert_status_other_text,education,education_other_text,age,sex,race_ethnic,Racial_or_Ethnic_background:_-_Other:_-_Text,race_ethnic_other_text,income,0,25,50,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,max_money,accrue_0_hours,accrue_25_hours,accrue_50_hours,accrue_100_hours,accrue_200_hours,accrue_300_hours,accrue_400_hours,accrue_500_hours,accrue_600_hours,accrue_700_hours,accrue_800_hours,accrue_900_hours,accrue_1000_hours,accrue_1100_hours,accrue_1200_hours,accrue_1300_hours,accrue_1400_hours,accrue_1500_hours,accrue_1600_hours,accrue_1700_hours,accrue_1800_hours,accrue_1900_hours,accrue_2000_hours,accrue_2100_hours,accrue_2200_hours,accrue_2300_hours,accrue_2400_hours,accrue_2500_hours,accrue_2600_hours,accrue_2700_hours,accrue_2800_hours,accrue_2900_hours,accrue_3000_hours,max_hours
10/16/2019 16:38,10/23/2019 14:24,45.61.102.81,596732,10/23/2019 14:24,42,"I consent, begin the study",BCBA,,Master's,,"e)	40-49",Prefer not to answer,Prefer not to answer,,Central East,prefer not to answer,100,100,100,98,69,31,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:44,10/16/2019 15:48,99.251.232.240,251,10/16/2019 15:48,7,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central East,85000,100,100,100,95,90,75,50,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/17/2019 14:48,10/17/2019 14:53,99.248.81.155,289,10/17/2019 14:53,31,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Central East,85000,100,100,100,100,100,100,80,70,40,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 18:36,10/23/2019 18:40,72.143.193.23,247,10/23/2019 18:40,47,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,White,,Central East,85000,100,100,99,99,85,49,36,25,18,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 20:19,10/23/2019 20:24,99.237.37.235,256,10/23/2019 20:24,49,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Female,Prefer not to answer,,Central East,85000,100,100,100,100,100,100,50,40,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:57,10/16/2019 16:03,67.71.60.253,348,10/16/2019 16:03,10,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,South Asian,,Central East,75000,100,100,100,100,100,80,70,60,30,19,20,20,9,7,5,5,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 19:13,10/16/2019 19:26,198.52.182.200,763,10/16/2019 19:26,26,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central East,75000,100,100,92,81,58,33,27,11,9,7,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 22:40,10/23/2019 22:45,99.232.97.236,312,10/23/2019 22:45,50,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,Prefer not to answer,,Central East,75000,100,100,100,100,65,55,50,30,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 15:53,10/16/2019 15:55,99.239.25.107,129,10/16/2019 15:55,8,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Male,White,,Central East,75000,100,100,100,100,100,100,100,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/23/2019 14:27,10/23/2019 14:29,72.140.46.159,118,10/23/2019 14:29,43,"I consent, begin the study",BCBA,,Master's,,"d)	35-39",Male,South Asian,,Central East,75000,100,100,100,100,100,49,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/16/2019 20:50,10/16/2019 20:59,107.179.212.20,547,10/16/2019 20:59,28,"I consent, begin the study",Other,Pursuing BCBA Exam scheduled ,Master's,,"c)	30-34",Female,Other:,French ,Central East,75000,100,100,90,85,80,75,60,50,36,15,0,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2000
10/16/2019 16:07,10/16/2019 16:11,72.143.195.77,262,10/16/2019 16:11,13,"I consent, begin the study",BCBA,,Master's,,"c)	30-34",Female,White,,Central East,65000,100,83,74,73,67,57,54,51,42,24,20,21,10,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
